id,title,artists,pp_artist,k16_cluster
3QVtDnXU5zqGWxWDFBMiDj,Gold Soundz,['Pavement'],Pavement,6
4WGC99E2a0bezjp7hHtiZP,5-4=Unity,['Pavement'],Pavement,13
6jR6FMCEoWGdEpFVRlMZM7,Range Life,['Pavement'],Pavement,6
6l78bOrK8CbLHbXp7sAdAh,Heaven Is a Truck,['Pavement'],Pavement,4
2lDskvrmmJStGpjkZHhzrP,Hit the Plane Down,['Pavement'],Pavement,14
2VcswmuA5mj5EATSRhoJzU,Fillmore Jive,['Pavement'],Pavement,13
4SYMibQ93bfzOk6uzkF0dO,Don't Turn Around,['Ace of Base'],Ace of Base,2
6sUq6M1iKXQLZHZqefgtEq,Young and Proud,['Ace of Base'],Ace of Base,15
5ICwDM1fzgqv7HNFUIjPyx,Living in Danger,['Ace of Base'],Ace of Base,2
08bZOAr9YLpCLL0Jmtsgbi,Wheel of Fortune,['Ace of Base'],Ace of Base,2
21ra9MgsyMTrxCvIPObFGL,"Waiting for Magic - Total Remix 7"" Version",['Ace of Base'],Ace of Base,0
7fb22pjF62S9r1s1pian5K,Happy Nation,['Ace of Base'],Ace of Base,0
2F71FlxVyNcoHj3MrHJF5e,Voulez-Vous danser,['Ace of Base'],Ace of Base,2
2Ol8ieTGPnzi9kVvZ1f7IN,My Mind - Mindless Mix,['Ace of Base'],Ace of Base,15
372oGXavXzqZJp5hzXxZlu,All That She Wants - Banghra Version,['Ace of Base'],Ace of Base,15
6IcW0DmqcuVESqTIbgkyH8,Mr Ace (Demo 1991) - Bonus Track,['Ace of Base'],Ace of Base,0
6pvn3Wy1iFcuYCftMumF6P,Deee-Lite Theme,['Deee-Lite'],Deee-Lite,15
3537ctBVaCefYh0r3DpNkC,Good Beat,['Deee-Lite'],Deee-Lite,2
2BuTposwmSKxFBgEoi4jES,Power of Love,['Deee-Lite'],Deee-Lite,2
0IhZeb2CoLpcIz7OgHUf31,Try Me On... I'm Very You,['Deee-Lite'],Deee-Lite,0
60Mh1Dt48Cua1BzFeLr0aB,Smile On,['Deee-Lite'],Deee-Lite,0
6pRUSqa2Qo8QV4Ytk8ik9c,What Is Love?,['Deee-Lite'],Deee-Lite,13
51EFUe97fg4qneF790i9cu,World Clique,['Deee-Lite'],Deee-Lite,0
2CpnZ8N7IkHQ3lr72JLt3g,E.S.P.,['Deee-Lite'],Deee-Lite,6
2He3NOyqtLNE3RQPpeDdSb,Groove Is in the Heart,['Deee-Lite'],Deee-Lite,2
4Q9bVcmZlXbCF0LHCY0uzc,Who Was That?,['Deee-Lite'],Deee-Lite,13
6Olqh1bzR0GoiHh29ns5Ux,Deep Ending,['Deee-Lite'],Deee-Lite,6
2lI7ELuYNnLa8kOXhB3N35,Build the Bridge,['Deee-Lite'],Deee-Lite,15
0WD5uBxgrOIcMWSqiEVaXl,One More Addiction,['Natalie Imbruglia'],Natalie Imbruglia,3
2rN6NKR8ZjMhcBCXsZUDWi,Big Mistake,['Natalie Imbruglia'],Natalie Imbruglia,5
5WbGQG0XwHXhYxQ0jrhqrT,Leave Me Alone,['Natalie Imbruglia'],Natalie Imbruglia,3
7zrWPRYubwn8k8Id80LDCv,Wishing I Was There,['Natalie Imbruglia'],Natalie Imbruglia,6
4Tj6t4ZdZMksIyzoQyTeXe,Smoke,['Natalie Imbruglia'],Natalie Imbruglia,3
4sWAbvHBzKlTS2P2OzI3DF,Pigeons And Crumbs,['Natalie Imbruglia'],Natalie Imbruglia,0
1k7TGEMNVQm4bPbzuAgc7g,Don't You Think?,"['Natalie Imbruglia', 'Mark Plati']",Natalie Imbruglia / Mark Plati,5
