id,title,artists,pp_artist,k16_cluster
0XdNZrKYpjuaINPHZhGqRI,Caution,['Tiny Moving Parts'],Tiny Moving Parts,1
0yBbztMlRUNnWwTaCkx0bl,Vertebrae,['Tiny Moving Parts'],Tiny Moving Parts,5
4eJFCgYa3D1gBgHcaeuh6Y,The Midwest Sky,['Tiny Moving Parts'],Tiny Moving Parts,4
3CQBal6JaIQziWGgX7FUqB,Rolling,['Michael Kiwanuka'],Michael Kiwanuka,14
3zJ5RDG0bLQAV2rntFgUtb,You Ain't The Problem,['Michael Kiwanuka'],Michael Kiwanuka,0
7o0Wmu96vJWVW0KqTowxD3,I've Been Dazed,['Michael Kiwanuka'],Michael Kiwanuka,5
4hh3IoUWPySR2YXz8Gy2pr,Better in Color,['Lizzo'],Lizzo,6
3TPFIrjJ8fgvGGHMjuy2HP,Where Are Ü Now (with Justin Bieber) - Ember Island Remix,"['Jack Ü', 'Skrillex', 'Diplo', 'Justin Bieber', 'Ember Island']",Jack Ü / Skrillex / Diplo / Justin Bieber / Ember Island,1
4vwEz8K8Z2COiJ3N9G9Ypv,Art School,['Remo Drive'],Remo Drive,3
1RIgnPLmupN5JRcncTDUTO,Crash Test Rating,['Remo Drive'],Remo Drive,4
2qsalMTxsMGCPOadfgXSzl,Strawberita,['Remo Drive'],Remo Drive,4
72pf2aNtLx4dFDzyhrDgBe,Summertime,['Remo Drive'],Remo Drive,1
0CZffHqnD0wTzHEVZei38H,Trying 2 Fool U,['Remo Drive'],Remo Drive,5
79lzbYqczF4oLoOkxx9mHK,Yer Killin' Me,['Remo Drive'],Remo Drive,3
0fh7aMfoZJn6Eswsov2ylF,I'm My Own Doctor,['Remo Drive'],Remo Drive,0
4uRUMluUIPrd8bxRO5uCXV,Heartstrings,['Remo Drive'],Remo Drive,15
07Xz41oqG1yZoGp2pfWcSH,Light Bulb,['Tiny Moving Parts'],Tiny Moving Parts,6
2cTZgMRkkqNvNHZQRRcmC2,Candy Coated Lover,"['Bootsy Collins', 'X-Zact', 'Kali Uchis', 'World-Wide-Funkdrive']",Bootsy Collins / X-Zact / Kali Uchis / World-Wide-Funkdrive,6
36fB3anNFgFwVrO9B6bYKO,Keep Reachin' (feat. Chaka Khan),"['Quincy Jones', 'Mark Ronson', 'Chaka Khan']",Quincy Jones / Mark Ronson / Chaka Khan,2
08D3zofNf3OwOSCAk50UFs,Black Licorice,['Peach Pit'],Peach Pit,6
4tVphly4D1PB8tJC9gHMcJ,10/10,['Rex Orange County'],Rex Orange County,4
