id,k16_cluster
1Lxhfhq1F0rkpb8GqoSJ6O,2
78EQ5LZGgviMU9k0zrqv1r,6
3lSR267IJfT54p0Gfuw7mi,11
5lFDtgWsjRJu8fPOAyJIAK,11
0wwPcA6wtMf6HUMpIRdeP7,0
2YWjW3wwQIBLNhxWKBQd16,14
1fJFuvU2ldmeAm5nFIHcPP,0
5tX9BkjTeQEoJCPTVVkRxx,2
6yk79gDdiqe76K6qOWwvFV,7
5DfAKQmET7CEenXz4bpaN6,0
4bm5sh12yDPEJkWbO27pDw,2
3MrWxJaD2AT0W9DjWF64Vm,0
04TfSQMv5y5lVyCEdEaMHY,14
0gpFiquPvir7e3RrM4kii9,0
35kPRKDxxGVHpypQgeeadM,11
5lCS40Y89Bl2xQrSmQvBWE,0
5T0KMRfBTDZwH5uEBESxEd,4
6rje9f1wRFJDO2iTORw0lH,7
5PXhYXlPf6CCGrSeZEmJZH,0
6QLohX5uCc2NC5LGTRnmDT,6
4AH8GJVosfrbfhe5NVTAnx,6
3clX2NMmjaAHmBjeTSa9vV,11
7gDwRzJhLs0fFHaGtMDJVM,2
6rktW7ir6seXSqBoMaoJih,11
2K87XMYnUMqLcX3zvtAF4G,3
1s9xuJxhYM0LdVqksjegcg,2
2P61EK6DMGyVyssLWS4fKy,6
1lguQJjlNrIOoOylYVZN3M,5
57yL3161hUMuw06zzzUCHi,2
6GmkJJMe9U1tEcrJ3Hq3A1,2
22OqansuvEMQu9W0EfiGTI,6
4Oyl6oYSNeeZZP0OAxPVaU,3
40sRwFjfrRnaTdYPJIg4CP,3
7qxjGHW485TL8ciwkHD5MK,0
5P3yUXUC9rZPJPNmYGKEAz,1
2RNd6VgxG19db0zs0M1C4Z,0
22mek4IiqubGD9ctzxc69s,3
4MflGTO2ZTcSQ12bWcyRgI,6
6NLvZYW0COmwDboKdLhYIi,14
3CRDbSIZ4r5MsZ0YwxuEkn,2
2gXczlSLzhskaTRLdAwBEw,0
53VPCNRpCj52gDgVrLtG5y,6
2eQOMQkStoRUQyq6HGh1iG,5
2wDSi9KYZKExnLJrU80yz2,5
4jTiyLlOJVJj3mCr7yfPQD,2
6KIKRz9eSTXdNsGUnomdtW,6
3DWOTqMQGp5q75fnVsWwaN,7
40riOy7x9W7GXjyGp4pjAv,0
